studyName,Date GMT,Time GMT,Island,Colony,Adults,Chicks
PAL9192,1992-01-26,1700,CHR,1,166,306
PAL9192,1992-01-26,1700,CHR,2,53,90
PAL9192,1992-01-26,1700,CHR,3,138,208
PAL9192,1992-01-26,1700,CHR,4,17,29
PAL9192,1992-01-26,1700,CHR,5,32,32
PAL9192,1992-01-26,1700,CHR,6,100,172
PAL9192,1992-01-26,1700,CHR,7,303,407
PAL9192,1992-01-26,1700,CHR,7.1,27,30
PAL9192,1992-01-26,1700,CHR,7.2,65,97
PAL9192,1992-01-26,1700,CHR,8,143,227
PAL9192,1992-01-26,1700,CHR,9,79,63
PAL9192,1992-01-26,1700,CHR,10,15,13
PAL9192,1992-01-26,1700,CHR,11,24,10
PAL9192,1992-01-26,1430,COR,1,5,4
PAL9192,1992-01-26,1430,COR,2,82,119
PAL9192,1992-01-26,1430,COR,3,45,48
PAL9192,1992-01-26,1430,COR,4,12,29
PAL9192,1992-01-26,1430,COR,5,370,386
PAL9192,1992-01-26,1430,COR,5.1,151,173
PAL9192,1992-01-26,1430,COR,6,110,116
PAL9192,1992-01-26,1130,HUM,1.1,10,20
PAL9192,1992-01-26,1130,HUM,1.2,11,39
PAL9192,1992-01-26,1130,HUM,1.3,7,7
PAL9192,1992-01-26,1130,HUM,2.1,86,183
PAL9192,1992-01-26,1130,HUM,2.2,35,97
PAL9192,1992-01-26,1130,HUM,3,145,409
PAL9192,1992-01-26,1130,HUM,3.1,45,99
PAL9192,1992-01-26,1130,HUM,4,59,149
PAL9192,1992-01-26,1130,HUM,5,185,476
PAL9192,1992-01-26,2000,LIT,1,14,11
PAL9192,1992-01-26,2000,LIT,2,21,29
PAL9192,1992-01-26,2000,LIT,3,0,0
PAL9192,1992-01-26,2000,LIT,4,21,31
PAL9192,1992-01-26,2000,LIT,5,40,99
PAL9192,1992-01-26,2000,LIT,6,80,135
PAL9192,1992-01-26,2000,LIT,7,31,71
PAL9192,1992-01-26,2000,LIT,8,42,141
PAL9192,1992-01-26,2000,LIT,9,17,25
PAL9192,1992-01-26,800,TOR,1,122,162
PAL9192,1992-01-26,800,TOR,2,42,71
PAL9192,1992-01-26,800,TOR,3,27,30
PAL9192,1992-01-26,800,TOR,4,234,378
PAL9192,1992-01-26,800,TOR,5,85,144
PAL9192,1992-01-26,800,TOR,12,155,265
PAL9192,1992-01-26,800,TOR,13,193,339
PAL9192,1992-01-26,800,TOR,15,113,210
PAL9192,1992-01-26,800,TOR,17,15,25
PAL9192,1992-01-26,800,TOR,20,184,318
PAL9192,1992-01-26,800,TOR,21,89,189
PAL9192,1992-01-26,800,TOR,22,58,134
PAL9192,1992-01-26,800,TOR,23,172,203
PAL9192,1992-01-26,800,TOR,23.1,19,25
PAL9293,1993-01-26,1100,CHR,1,281,307
PAL9293,1993-01-26,1100,CHR,2,102,90
PAL9293,1993-01-26,1100,CHR,3,216,210
PAL9293,1993-01-26,1100,CHR,4,35,30
PAL9293,1993-01-26,1100,CHR,5,39,41
PAL9293,1993-01-26,1100,CHR,6,149,155
PAL9293,1993-01-26,1100,CHR,7,386,362
PAL9293,1993-01-26,1100,CHR,7.1,38,30
PAL9293,1993-01-26,1100,CHR,7.2,107,90
PAL9293,1993-01-26,1100,CHR,8,218,228
PAL9293,1993-01-26,1100,CHR,9.1,31,17
PAL9293,1993-01-26,1100,CHR,10,21,10
PAL9293,1993-01-26,1100,CHR,11,18,0
PAL9293,1993-01-26,1000,COR,1,8,5
PAL9293,1993-01-26,1000,COR,2,86,119
PAL9293,1993-01-26,1000,COR,3,55,50
PAL9293,1993-01-26,1000,COR,4,15,25
PAL9293,1993-01-26,1000,COR,5,342,356
PAL9293,1993-01-26,1000,COR,5.1,141,167
PAL9293,1993-01-26,1000,COR,6,148,141
PAL9293,1993-01-26,1300,HUM,1.1,24,15
PAL9293,1993-01-26,1300,HUM,1.2,20,39
PAL9293,1993-01-26,1300,HUM,1.3,6,7
PAL9293,1993-01-26,1300,HUM,2.1,60,195
PAL9293,1993-01-26,1300,HUM,2.2,35,109
PAL9293,1993-01-26,1300,HUM,3,197,451
PAL9293,1993-01-26,1300,HUM,3.1,65,82
PAL9293,1993-01-26,1300,HUM,4,140,168
PAL9293,1993-01-26,1300,HUM,5,210,524
PAL9293,1993-01-26,1400,LIT,1,36,32
PAL9293,1993-01-26,1400,LIT,2,21,9
PAL9293,1993-01-26,1400,LIT,3,0,0
PAL9293,1993-01-26,1400,LIT,4,41,25
PAL9293,1993-01-26,1400,LIT,5,75,105
PAL9293,1993-01-26,1400,LIT,6,94,135
