Monthly Sea Ice Area (km^2) for new PAL sampling area (-200 to 600 lines)
Dataset: GSFC Bootstrap time series data Version 3.0 for 11/1978 to 12/2020, supplemented
        by preliminary Near-Real-Time-Sea-Ice (NRTSI) data for Jan-Jul 2021
Nodata: -999.00
Area:   actual area covered by sea ice inside the outer ice edge (so takes into account
        the range in sea ice concentration)
Caution: The 2021 monthly data are preliminary and will be updated when available
         NOTE: in Version 3.1, monthly data for 12/1987 and 1/1988 are not available (-999.)

Year             Jan         Feb         Mar         Apr         May         Jun         Jul         Aug         Sep         Oct         Nov         Dec


1978	        -999        -999        -999        -999        -999        -999        -999        -999        -999        -999      177544      153559
1979	      113653       86762       59659       57203      123659      169594      181235      184398      190188      179197      165040      134896
1980	      100266       67562       61702       95739      140922      171342      188516      191857      191708      194866      178686      134334
1981	       78239       54643       36469       49389      122418      172252      173945      182485      184673      185519      156101      116975
1982	       68776       40359       26399       40363       76025      117619      173243      189671      189006      182522      168171      111942
1983	       51038       30698       27496       27598       27159       83752      119356      142656      151195      149133       78366       49855
1984	       28927       21002        9017        9628       37711      137822      180972      185590      115427      148100      110567       71275
1985	       35658       17731        7224        7095       26402       86824      154085      169773      154839      138477      111626       92662
1986	       62785       35120       20833       18932       65004      130283      165171      190326      194427      194959      185008      162753
1987	      113843       64541       39465       88900      104218      160354      193523      195822      189490      179974      135886        -999
1988	        -999       33395       22185       24222       49742       79181      134054      174602      182488      139565       79974       45080
1989	        6426        3593        2261        7468       11244       75277       95003       94045      118707       59812       35608       12120
1990	        5045        2564        1459        4470       26641       62164      113549      158622      186316      186174      175238      111217
1991	        7517        2915         658         665       63520      172168      178109      191911      184645      179712      151617       92147
1992	       56778       29251       28091       52889      101973      167063      192226      182996      157813      117905       85774       44975
1993	       27058       14959       10012       15291       54120      130633      165500      125075      172552      183779      134287       86760
1994	       48914       22556       14919       11449       30472      130402      174866      193326      176498      184019      142705       69329
1995	       26283       12541        7569       12739       32400      128411      180518      194507      193321      147252      130897       85164
1996	       45486       25937       15756       13500       22587       98080      165969      186592      152767      150031      121404       64810
1997	       21517       11360        6970       10121       55362      104173      176482      180941      188723      172760      142686       50789
1998	       16198        7860        5753        4750       49592       73674      102587      117944      165990       94739       75685       46992
1999	        7670        4251        3478        3412        3719       69045      128054      181362      183028      171583      110712       58856
2000	       31404       14377        7933        6783       19398       46752      111981      159698      174473      171832      117039       77010
2001	       21190        3014        1704        2495        5130       65112      152293      179613      185714      119357       83827       63136
2002	       39644       23869       16401       11313       87299      170998      183069      177085      175299      168881      148067       76553
2003	       22312        9727        3279        3611       51780      101709      134862      144951      173555      169381      128312       68784
2004	       10747        2331        1061         983       39604      109758      157293      186679      190393      194916      178473      127194
2005	       83961       40495       25361       34256       78683      139670      179641      193024      193233      163069      124143      100231
2006	       51670       30117       19685       13841       32928       78372      126378      178747      175209      149818       95259       40344
2007	        9228        3611         710        5220       12730       56212      130081      170751      135567       78022       64864       23753
2008	        3814        1479        1364        1329        2786       37617      117000      152485      124595       47249       29500       14359
2009	        5525        3008        1391        3190        3829       27537      126924      154342      176889      158327      138553       45535
2010	        6243        2489        1050        1457       21638       69971      138138      171233      150006       44439       24381       21597
2011	        7425        2058        1411        3727        8772       57287      140792      191069      186209      174789      112742       63867
2012	       41868       14048        5062        4638        9071       98746      131191      169890      158974      149343      148963       78088
2013	       13308        1918        1218        1151       46388      133341      170666      185182      193738      171564      183179      160794
2014	       54427       14315        4197       10906       21531       89214      143391      181137      175815      176870      152841       92702
2015	       24499        9993        5079        6927       37697      157666      189243      188408      189423      184152      170799      131513
2016	       86126       38732       23874       69185      137585      121355      160469      183129      147295       83946       73025       51460
2017	       27582       13559        8416        9913       12383       32376      112729      145530      179372      175628      162531       84581
2018	       22466        4417        2125        2653       35785       85660      162831      180812      183450      178480      125477       87561
2019	       55918       28494       14096        8169       48673      120071      158253      170763      186260      177058      140665       98992
2020	       19951        4190         940        1832       26292       72874      149952      167067      180977      176363       61132       36070
2021	        7314         679         293         765       20704       84381       68221        -999        -999        -999        -999        -999
